feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,target_x,target_y,scenario_id
2.744567394256592,0.9569465517997742,-1.905383586883545,-0.1455647200345993,0.35951462388038635,0.051932770758867264,0.06491652131080627,-11.014232635498047,89.31221008300781,723.93994140625,0.2,0.2,2.0
2.741765260696411,0.9691584706306458,-1.9093469381332397,-0.13701550662517548,0.3568601608276367,0.04818201810121536,0.06616593897342682,-10.717260360717773,89.5291519165039,724.7701416015625,0.2,0.2,2.0
2.7553904056549072,0.9389671683311462,-1.8920209407806396,-0.11212470382452011,0.36000972986221313,0.05023205280303955,0.06412540376186371,-10.7027587890625,89.5804672241211,724.3772583007812,0.2,0.2,2.0
2.7276906967163086,0.9553285241127014,-1.921794056892395,-0.10259278863668442,0.3630520701408386,0.052037522196769714,0.06321783363819122,-10.628965377807617,89.37422180175781,722.5050659179688,0.2,0.2,2.0
2.724698066711426,0.9852296710014343,-1.9052343368530273,-0.16011296212673187,0.36972329020500183,0.05019849166274071,0.06578437983989716,-10.577839851379395,90.00299835205078,724.9921875,0.2,0.2,2.0
2.721325159072876,0.9836670756340027,-1.9451409578323364,-0.13808198273181915,0.3726052939891815,0.05208127573132515,0.06473386287689209,-10.775066375732422,89.71855163574219,722.2081909179688,0.2,0.2,2.0
2.74489688873291,1.021618127822876,-1.972705364227295,-0.1489630788564682,0.3567163944244385,0.045143432915210724,0.064241424202919,-10.267890930175781,89.31981658935547,724.96142578125,0.2,0.2,2.0
2.755676746368408,0.9755499958992004,-1.9349796772003174,-0.141322061419487,0.363013356924057,0.0500606894493103,0.06791184097528458,-10.633502006530762,89.4041519165039,723.1445922851562,0.2,0.2,2.0
2.741999864578247,0.980589747428894,-1.9258025884628296,-0.13688509166240692,0.3591313362121582,0.052312903106212616,0.06376469135284424,-10.504279136657715,89.2889633178711,723.684326171875,0.2,0.2,2.0
2.764307737350464,0.9606972336769104,-1.9237428903579712,-0.12158217281103134,0.35094043612480164,0.05419110879302025,0.06480094790458679,-10.653848648071289,88.89984130859375,724.096923828125,0.2,0.2,2.0
2.7618181705474854,0.9781383872032166,-1.9309873580932617,-0.13795717060565948,0.35988402366638184,0.04693090170621872,0.06472435593605042,-10.371206283569336,89.27422332763672,724.90283203125,0.2,0.2,2.0
2.7966201305389404,1.001302719116211,-1.9333664178848267,-0.1316908746957779,0.3549578785896301,0.052116312086582184,0.06618285179138184,-10.348491668701172,89.04265594482422,726.4777221679688,0.2,0.2,2.0
2.7217016220092773,0.9368472695350647,-1.9177840948104858,-0.08346647769212723,0.37005069851875305,0.010337715037167072,0.0581526942551136,-1.8892477750778198,87.36727905273438,720.633544921875,0.2,0.2,2.0
2.749782085418701,0.8910245299339294,-2.1147360801696777,0.008203333243727684,0.37016382813453674,-0.01124136708676815,0.03931289166212082,5.273703575134277,86.41323852539062,718.5962524414062,0.2,0.2,2.0
2.5678839683532715,0.7530317306518555,-2.0728702545166016,0.10696441680192947,0.3806668221950531,-0.0500912182033062,0.013904205523431301,13.930081367492676,87.47542572021484,723.1309204101562,0.2,0.2,2.0
2.5558300018310547,0.7442723512649536,-2.172513723373413,0.1410820335149765,0.38770607113838196,-0.0521136112511158,0.006952111609280109,18.009098052978516,87.72803497314453,724.8485717773438,0.2,0.2,2.0
