feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,target_x,target_y
2.635950803756714,0.5312502384185791,-1.9453392028808596,0.4110413789749145,-3.039825677871704,-0.0275179762393236,-0.4683479964733124,23.83771133422852,309.0519714355469,2880.756103515625,0.1,0.1
2.639138698577881,0.4675328135490417,-2.039976119995117,0.4338842928409576,-3.046311140060425,-0.0253187585622072,-0.4691045582294464,20.90877723693848,309.07452392578125,2872.589599609375,0.1,0.1
2.6600141525268555,0.4553826153278351,-1.9568843841552732,0.4915143251419067,-3.063854217529297,-0.0169478729367256,-0.4400673806667328,18.71597671508789,309.0695495605469,2888.52001953125,0.1,0.1
2.656949996948242,0.5161976218223572,-1.8957520723342896,0.4544443786144256,-3.05184268951416,-0.0199396070092916,-0.4337267875671386,17.294898986816406,309.0341491699219,2883.503173828125,0.1,0.1
2.6580405235290527,0.4424991011619568,-1.9276704788208008,0.4741288423538208,-3.0599565505981445,-0.0193201918154954,-0.4297730624675751,17.623842239379883,309.001953125,2886.947509765625,0.1,0.1
2.636786460876465,0.4610940814018249,-1.990592122077942,0.486492782831192,-3.056196928024292,-0.0172081235796213,-0.4079107046127319,16.414325714111328,309.6527709960937,2888.0009765625,0.1,0.1
2.6347203254699707,0.5215884447097778,-1.8867056369781492,0.4346855282783508,-3.0545318126678467,-0.0224176868796348,-0.4123460948467254,16.308317184448242,310.9515991210937,2887.638916015625,0.1,0.1
2.6633050441741943,0.4656800627708435,-1.957768797874451,0.4937147200107574,-3.060163974761963,-0.0226700827479362,-0.4071747362613678,16.4991397857666,310.2382202148437,2897.00830078125,0.1,0.1
2.6409685611724854,0.5071110725402832,-1.9076685905456543,0.4696410894393921,-3.062419414520264,-0.0213417764753103,-0.4028865098953247,16.500669479370117,308.57470703125,2891.153076171875,0.1,0.1
2.6689467430114746,0.4733836054801941,-1.9250808954238887,0.4826846718788147,-3.055025815963745,-0.0240240301936864,-0.4195299446582794,18.781457901000977,309.2716064453125,2886.179443359375,0.1,0.1
2.6559884548187256,0.4751757383346557,-1.8153011798858645,0.4544066488742828,-3.0389904975891118,-0.0312125831842422,-0.4707960188388824,33.4329719543457,307.2846069335937,2873.085693359375,0.3,0.1
2.656860828399658,0.4960294961929321,-1.845371127128601,0.4048718512058258,-3.035611152648926,-0.0310612954199314,-0.4421956539154053,29.557899475097656,308.5596618652344,2884.49560546875,0.3,0.1
2.660839557647705,0.5311052799224854,-1.7937365770339966,0.4006099998950958,-3.047675609588623,-0.0361725054681301,-0.4334082901477813,29.929574966430664,308.5350341796875,2887.8740234375,0.3,0.1
2.6809728145599365,0.5359402298927307,-1.8361698389053345,0.3980946838855743,-3.04716420173645,-0.0336388833820819,-0.4283296763896942,29.06521987915039,308.7764892578125,2886.789794921875,0.3,0.1
2.6893303394317627,0.4869336187839508,-1.8284239768981931,0.4337954223155975,-3.0396077632904053,-0.0332082882523536,-0.4642311930656433,32.012840270996094,308.5385131835937,2879.8447265625,0.3,0.1
2.7031705379486084,0.4794900715351105,-1.842954158782959,0.4201911389827728,-3.0462450981140137,-0.0350733175873756,-0.4488050043582916,29.85270500183105,308.2882080078125,2886.2490234375,0.3,0.1
2.680798053741455,0.5164903998374939,-1.84188711643219,0.4148713648319244,-3.0416581630706787,-0.0341393128037452,-0.476544052362442,32.82246017456055,308.1174011230469,2882.556884765625,0.3,0.1
2.6982314586639404,0.4964851438999176,-1.838249683380127,0.4496883749961853,-3.0381886959075928,-0.0331932976841926,-0.4407767057418823,29.93833541870117,308.5497741699219,2886.400146484375,0.3,0.1
2.63693642616272,0.4962719976902008,-1.841815948486328,0.4143205881118774,-3.0435354709625244,-0.0324880853295326,-0.4419380724430084,30.397348403930664,308.057861328125,2883.25,0.3,0.1
2.716915845870972,0.5345324873924255,-1.868191719055176,0.4252966344356537,-3.0537171363830566,-0.0360962599515914,-0.3812780976295471,26.1011962890625,309.71435546875,2895.168212890625,0.3,0.1
2.8144097328186035,0.5844026803970337,-1.8321545124053955,0.3275984823703766,-3.0523407459259038,-0.0407459996640682,-0.4342197477817535,32.232269287109375,307.4584045410156,2885.957275390625,0.5,0.1
2.783169746398926,0.510635256767273,-1.832225561141968,0.4183057248592376,-3.0464491844177246,-0.0446279495954513,-0.4776051640510559,34.178306579589844,307.1671142578125,2883.372314453125,0.5,0.1
2.745338201522827,0.5583030581474304,-1.7981470823287964,0.3560435771942138,-3.0476551055908203,-0.0436852946877479,-0.4503551125526428,33.24526596069336,306.0780029296875,2875.150146484375,0.5,0.1
2.729601621627808,0.5320262908935547,-1.869902849197388,0.3983564972877502,-3.049316883087158,-0.0436999537050724,-0.476582407951355,35.595191955566406,306.015380859375,2876.876708984375,0.5,0.1
2.762880563735962,0.5373459458351135,-1.8175208568573,0.37901571393013,-3.045892238616944,-0.0421672724187374,-0.4133297801017761,30.453256607055664,308.52020263671875,2885.276611328125,0.5,0.1
2.788604259490967,0.5326142311096191,-1.8405274152755735,0.4064516425132751,-3.056261777877808,-0.0321750380098819,-0.3836907744407654,28.325061798095703,308.0131530761719,2886.724365234375,0.5,0.1
2.761705160140991,0.5487356781959534,-1.8402910232543943,0.4124353528022766,-3.0458481311798096,-0.0399023704230785,-0.4285653233528137,30.676698684692383,306.6808776855469,2876.98193359375,0.5,0.1
2.7790615558624268,0.5249955058097839,-1.8310496807098389,0.4161072075366974,-3.0487489700317383,-0.0385989136993885,-0.4308591783046722,31.055686950683597,307.0787658691406,2881.449462890625,0.5,0.1
2.7186975479125977,0.5080926418304443,-1.8385828733444212,0.4027490615844726,-3.0460364818573,-0.0400754213333129,-0.4478033185005188,32.066184997558594,307.3035583496094,2884.832275390625,0.5,0.1
2.742790699005127,0.5501909255981445,-1.871634006500244,0.4068584144115448,-3.0536868572235107,-0.0400695018470287,-0.4201677143573761,30.980119705200195,307.6741943359375,2887.97412109375,0.5,0.1
2.817079782485962,0.5405187606811523,-1.8101886510849,0.3249869346618652,-3.059410095214844,-0.0468130968511104,-0.4268801808357239,34.84897994995117,307.406494140625,2900.583251953125,0.7,0.1
2.7789576053619385,0.5348638296127319,-1.8022589683532717,0.3146860897541046,-3.0492584705352783,-0.0482237562537193,-0.4766905009746551,39.320411682128906,307.9422912597656,2891.61572265625,0.7,0.1
2.831364154815674,0.5361141562461853,-1.8091917037963867,0.3667272329330444,-3.0415258407592773,-0.0560384951531887,-0.4812845289707184,39.869930267333984,307.688232421875,2889.55419921875,0.7,0.1
2.8372297286987305,0.5301911234855652,-1.822842001914978,0.3584953248500824,-3.043982744216919,-0.051924243569374,-0.4768261909484863,39.73658752441406,307.3740539550781,2884.241943359375,0.7,0.1
2.7983264923095703,0.5335022211074829,-1.801702857017517,0.3385093510150909,-3.050475835800171,-0.0484020262956619,-0.4540199041366577,36.46879196166992,308.43768310546875,2896.25439453125,0.7,0.1
2.8294360637664795,0.5210751891136169,-1.8260225057601929,0.3995817899703979,-3.04388689994812,-0.0484438985586166,-0.4698142409324646,38.62028121948242,307.9424133300781,2892.21630859375,0.7,0.1
2.803442478179932,0.5720161199569702,-1.810048222541809,0.3094754517078399,-3.049708604812622,-0.0520222783088684,-0.4680264294147491,37.88023376464844,307.98895263671875,2890.609375,0.7,0.1
2.896343946456909,0.5107103586196899,-1.7284021377563477,0.3691417872905731,-3.045473337173462,-0.0505299232900142,-0.44657763838768,46.283687591552734,308.695068359375,2893.8076171875,0.9,0.1
2.902090549468994,0.5342000722885132,-1.7453795671463013,0.3097049295902252,-3.0456318855285645,-0.0583982579410076,-0.4162032902240753,43.018821716308594,309.89117431640625,2902.434326171875,0.9,0.1
2.867493867874145,0.5201748609542847,-1.7498499155044556,0.307872325181961,-3.0445427894592285,-0.0578340850770473,-0.454465389251709,46.61709976196289,308.4107971191406,2892.920166015625,0.9,0.1
2.848203659057617,0.5918046236038208,-1.782233715057373,0.2497192919254303,-3.044161558151245,-0.0629550814628601,-0.443764328956604,46.37029647827149,307.71075439453125,2885.424560546875,0.9,0.1
2.84740686416626,0.567298173904419,-1.779228925704956,0.3235496282577514,-3.036505699157715,-0.057780273258686,-0.4926757216453552,48.95724105834961,306.39166259765625,2880.695068359375,0.9,0.1
2.5782470703125,0.5220551490783691,-1.8043502569198608,0.3643197417259216,-3.05444598197937,-0.037801768630743,-0.4770533740520477,45.7479248046875,306.09002685546875,2876.345458984375,0.1,0.3
2.5775225162506104,0.5231308341026306,-1.854095220565796,0.3781159222126007,-3.053427457809448,-0.0378071516752243,-0.4815661907196045,43.55266952514648,304.3305969238281,2873.213623046875,0.1,0.3
2.584969520568848,0.5350659489631653,-1.8001331090927124,0.3949121534824371,-3.060999631881714,-0.0334525518119335,-0.4625199735164642,40.307579040527344,305.09918212890625,2884.4443359375,0.1,0.3
2.667009115219116,0.6002054810523987,-1.8705854415893557,0.3430702686309814,-3.0705442428588867,-0.0376925952732563,-0.4412702620029449,42.26304244995117,306.7056579589844,2897.11328125,0.3,0.3
2.656177520751953,0.560518741607666,-1.8433011770248413,0.383018434047699,-3.0514347553253174,-0.0436035431921482,-0.4687345027923584,42.14328384399414,306.3910522460937,2885.884033203125,0.3,0.3
2.6946585178375244,0.5759914517402649,-1.8579177856445312,0.3464035987854004,-3.055500030517578,-0.0450540222227573,-0.4791437685489654,43.14299774169922,307.4839782714844,2895.34130859375,0.3,0.3
