feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,target_x,target_y,scenario_id
2.6880102157592773,0.6150098443031311,-1.9306151866912842,0.21704480051994324,0.4194936454296112,-0.005974389612674713,0.021354684606194496,4.724514961242676,81.9493637084961,792.8321533203125,0.1,0.1,1.0
2.7177960872650146,0.6310231685638428,-1.9458404779434204,0.18815535306930542,0.4195181131362915,-0.007902014069259167,0.02225540392100811,4.860183238983154,82.01995849609375,793.8800659179688,0.1,0.1,1.0
2.6938374042510986,0.6148819923400879,-1.9643722772598267,0.19355662167072296,0.42104190587997437,-0.009452917613089085,0.02147720567882061,4.963585376739502,82.06672668457031,793.3877563476562,0.1,0.1,1.0
2.7361695766448975,0.6284381747245789,-1.961510181427002,0.18491531908512115,0.4256230592727661,-0.007422494236379862,0.022421354427933693,5.035917282104492,82.34815979003906,792.7949829101562,0.1,0.1,1.0
2.7101783752441406,0.6090635061264038,-1.9631434679031372,0.19929923117160797,0.4238075315952301,-0.010974964126944542,0.02073553390800953,5.20260763168335,82.16205596923828,792.8189697265625,0.1,0.1,1.0
2.704460382461548,0.6451831459999084,-1.9720021486282349,0.19524072110652924,0.42899078130722046,-0.008942916058003902,0.019909393042325974,5.013103485107422,82.26516723632812,789.9021606445312,0.1,0.1,1.0
2.7087721824645996,0.6177757978439331,-1.9174813032150269,0.23553894460201263,0.4253251254558563,-0.00580930570140481,0.022011881694197655,4.950965404510498,81.99441528320312,790.1261596679688,0.1,0.1,1.0
2.710099935531616,0.6348752379417419,-1.9467307329177856,0.20859916508197784,0.4247415363788605,-0.002349069807678461,0.025167318060994148,4.940016269683838,82.10094451904297,790.8624877929688,0.1,0.1,1.0
2.7257866859436035,0.6357724070549011,-1.9487285614013672,0.23255012929439545,0.42199984192848206,-0.0034298431128263474,0.023957014083862305,4.864904403686523,81.99688720703125,791.6981201171875,0.1,0.1,1.0
2.726268768310547,0.6364243626594543,-1.9507663249969482,0.22172968089580536,0.423013836145401,-0.0031838640570640564,0.023838888853788376,4.9047088623046875,82.07341003417969,792.1993408203125,0.1,0.1,1.0
2.7311713695526123,0.6380468010902405,-1.9567610025405884,0.22448118031024933,0.42329251766204834,-0.007673643529415131,0.024981431663036346,5.202070236206055,81.98351287841797,791.6806030273438,0.1,0.1,1.0
2.736589193344116,0.6400596499443054,-1.979622721672058,0.231657937169075,0.4236243963241577,-0.006577703636139631,0.025206711143255234,5.156271934509277,82.01052856445312,791.9889526367188,0.1,0.1,1.0
2.7265164852142334,0.6236353516578674,-1.9956510066986084,0.2492920458316803,0.4180058240890503,-0.003740079002454877,0.02301926352083683,5.117605686187744,81.98646545410156,794.2965698242188,0.1,0.1,1.0
2.721869945526123,0.6328498721122742,-1.9478225708007812,0.22697286307811737,0.4204174280166626,-0.002829514676705003,0.02347736433148384,4.937041759490967,81.98111724853516,792.2572631835938,0.1,0.1,1.0
2.734619379043579,0.6308806538581848,-1.9789457321166992,0.2099231630563736,0.4193524122238159,-0.004274644423276186,0.022945264354348183,5.138989448547363,82.05375671386719,794.577880859375,0.1,0.1,1.0
2.728184223175049,0.6346490979194641,-2.0011401176452637,0.20558016002178192,0.42258304357528687,-0.006352224387228489,0.02240316942334175,5.175473690032959,82.1483383178711,793.1342163085938,0.1,0.1,1.0
2.71842360496521,0.6351863145828247,-1.93031644821167,0.19847401976585388,0.4232132136821747,-0.0038519243244081736,0.02114340104162693,5.037110328674316,82.22967529296875,792.7105712890625,0.1,0.1,1.0
2.692566156387329,0.6351483464241028,-1.9245738983154297,0.19706644117832184,0.4232955873012543,-0.0011069723404943943,0.022423379123210907,4.90367317199707,82.13455963134766,793.2091674804688,0.1,0.1,1.0
2.7287988662719727,0.6722686886787415,-1.999080777168274,0.17752690613269806,0.41753247380256653,-0.0024568848311901093,0.02397432178258896,4.860374450683594,82.26119995117188,796.1533813476562,0.1,0.1,1.0
2.732419729232788,0.6594916582107544,-1.9842581748962402,0.18317869305610657,0.4179542064666748,-0.0033438464161008596,0.024303190410137177,4.864974498748779,82.19744873046875,796.1334228515625,0.1,0.1,1.0
2.7786202430725098,0.6651076674461365,-1.9583168029785156,0.17019309103488922,0.4219249188899994,-0.002061915583908558,0.02448382042348385,4.977573394775391,82.51209259033203,797.509521484375,0.1,0.1,1.0
